# This file contains the list of genes (nodes) in the gene regulatory network
# of Drosophila melanogaster.
# 
# The original network was built using the information available from
# 
# Roy S, Ernst J, Kharchenko PV, Kheradpour P, Negre N, Eaton ML, et al.
# Identification of functional elements and regulatory circuits by Drosophila
# modENCODE. Science (New York, NY). 2010;330(6012):1787–97.
# doi:10.1126/science.1198374.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
ara	33	24	Reservoir
CG7556	9	24	Reservoir
CG11456	8	24	Reservoir
Dip3	6	24	Reservoir
Pph13	2	24	Reservoir
trh	28	23	Reservoir
Antp	20	23	Reservoir
disco-r	18	23	Reservoir
unpg	14	23	Reservoir
vnd	12	23	Reservoir
chn	25	22	Reservoir
noc	18	22	Reservoir
pb	13	22	Reservoir
mirr	28	21	Reservoir
l(1)sc	16	21	Reservoir
E(spl)	15	21	Reservoir
CG6792	6	21	Reservoir
kn	5	21	Reservoir
slou	30	20	Reservoir
vvl	14	20	Reservoir
C15	14	20	Reservoir
CG10147	9	20	Reservoir
bowl	6	20	Reservoir
Lim3	6	20	Reservoir
CG6813	4	20	Reservoir
bi	22	19	Reservoir
dan	20	19	Reservoir
Dll	19	19	Reservoir
ind	11	19	Reservoir
nub	23	18	Reservoir
exex	20	18	Reservoir
HmgZ	15	18	Reservoir
Rx	9	18	Reservoir
ci	7	18	Reservoir
crol	5	17	Reservoir
Eip74EF	4	17	Reservoir
Dif	2	17	Reservoir
NfI	1	17	Reservoir
rib	22	16	Reservoir
tsh	21	16	Reservoir
oc	21	16	Reservoir
sens-2	19	16	Reservoir
HLHm3	12	16	Reservoir
byn	8	16	Reservoir
E5	6	16	Reservoir
CG31782	4	16	Reservoir
CG16815	15	15	Reservoir
CG14050	7	15	Reservoir
ss	35	14	Reservoir
otp	23	14	Reservoir
dmrt99B	19	14	Reservoir
CG4328	4	14	Reservoir
Sox21b	22	13	Reservoir
gcm	17	13	Reservoir
lab	12	13	Reservoir
mld	11	13	Reservoir
ewg	8	13	Reservoir
CG5591	7	13	Reservoir
CG7045	3	13	Reservoir
Optix	33	12	Reservoir
CG7987	9	12	Reservoir
CG7271	8	12	Reservoir
term	7	12	Reservoir
cyc	5	12	Reservoir
OdsH	2	12	Reservoir
CG15479	14	11	Reservoir
CG18262	4	11	Reservoir
al	3	11	Reservoir
H2.0	3	11	Reservoir
lbl	24	10	Reservoir
pnt	15	10	Reservoir
nerfin-1	11	10	Reservoir
CG10462	7	10	Reservoir
sd	5	10	Reservoir
Gsc	14	9	Reservoir
ovo	13	9	Reservoir
eyg	13	9	Reservoir
tup	9	9	Reservoir
HLHmbeta	7	9	Reservoir
ase	4	9	Reservoir
Oli	4	9	Reservoir
MTF-1	4	9	Reservoir
mid	25	8	Reservoir
grn	22	8	Reservoir
knrl	14	8	Reservoir
so	13	8	Reservoir
fd96Cb	9	8	Reservoir
dm	3	8	Reservoir
Ptx1	25	7	Reservoir
toe	20	7	Reservoir
H15	16	7	Reservoir
CG9932	6	7	Reservoir
CG4374	1	7	Reservoir
dac	12	6	Reservoir
Poxn	8	6	Reservoir
zfh2	7	6	Reservoir
fd59A	5	6	Reservoir
Fer1	1	6	Reservoir
sr	14	5	Reservoir
dve	14	5	Reservoir
klu	12	5	Reservoir
grh	12	5	Reservoir
danr	9	5	Reservoir
tap	6	5	Reservoir
CG32006	1	5	Reservoir
ac	13	4	Reservoir
bbx	12	4	Reservoir
CG31670	7	4	Reservoir
CG15336	5	4	Reservoir
Lim1	4	4	Reservoir
CG8159	3	4	Reservoir
RunxA	1	4	Reservoir
CG15710	1	4	Reservoir
sc	12	3	Reservoir
sisA	11	3	Reservoir
peb	9	3	Reservoir
cato	7	3	Reservoir
org-1	5	3	Reservoir
dsf	4	3	Reservoir
ap	3	3	Reservoir
CG7056	3	3	Reservoir
CG32105	3	3	Reservoir
lbe	12	2	Reservoir
Poxm	8	2	Reservoir
AP-2	7	2	Reservoir
br	5	2	Reservoir
Sox14	5	2	Reservoir
lmd	3	2	Reservoir
Sox15	3	2	Reservoir
CG9650	14	1	Reservoir
pros	10	1	Reservoir
Vsx2	6	1	Reservoir
CG12029	6	1	Reservoir
CG13624	5	1	Reservoir
ham	4	1	Reservoir
CHES-1-like	4	1	Reservoir
CG3726	3	1	Reservoir
rgr	1	1	Reservoir
acj6	1	1	Reservoir
CG32532	1	1	Reservoir
Ets98B	3	32	Readout
CrebA	5	30	Readout
NK7.1	2	27	Readout
CG11247	7	24	Readout
Usf	3	22	Readout
maf-S	4	20	Readout
Hnf4	3	18	Readout
CG34376	7	14	Readout
bigmax	5	14	Readout
CG8632	4	14	Readout
Atf6	1	14	Readout
Cf2	5	13	Readout
CG8089	3	13	Readout
cbt	8	12	Readout
Hr96	4	11	Readout
Smox	9	9	Readout
CG12236	8	9	Readout
crc	7	9	Readout
ken	3	9	Readout
elB	3	8	Readout
Lag1	1	8	Readout
CG18619	5	7	Readout
CG14667	3	7	Readout
CG15073	2	7	Readout
ato	15	6	Readout
CG8281	8	6	Readout
gem	7	6	Readout
CG9876	6	6	Readout
CG9727	4	6	Readout
CG6765	1	6	Readout
CG7745	3	5	Readout
CG6276	2	5	Readout
Bsg25A	2	5	Readout
Ets65A	9	4	Readout
Mnt	7	4	Readout
Side	1	4	Readout
CG3032	1	4	Readout
CG11294	1	4	Readout
pan	5	3	Readout
tai	3	3	Readout
onecut	2	3	Readout
CG8119	1	3	Readout
bab2	9	2	Readout
CG32772	6	2	Readout
Mrtf	5	2	Readout
CG2889	5	2	Readout
vri	4	2	Readout
Hr78	4	2	Readout
Thd1	3	2	Readout
HLH54F	2	2	Readout
Ets96B	1	2	Readout
Bteb2	1	2	Readout
kay	11	1	Readout
bun	10	1	Readout
CG16778	10	1	Readout
shn	7	1	Readout
tna	6	1	Readout
seq	6	1	Readout
CrebB-17A	6	1	Readout
sqz	5	1	Readout
lz	5	1	Readout
ab	5	1	Readout
ERR	5	1	Readout
eg	4	1	Readout
CG14441	4	1	Readout
CG13287	4	1	Readout
rn	3	1	Readout
Pdp1	2	1	Readout
CG8301	2	1	Readout
ftz-f1	1	1	Readout
dmrt93B	1	1	Readout
CG13424	1	1	Readout
CG10348	1	1	Readout
Atf-2	1	1	Readout
l(2)05714	184	0	Readout_terminal
U2af38	181	0	Readout_terminal
CG14805	180	0	Readout_terminal
ncd	179	0	Readout_terminal
TfIIFalpha	179	0	Readout_terminal
Nup358	179	0	Readout_terminal
Ras85D	177	0	Readout_terminal
MED6	177	0	Readout_terminal
Vps26	176	0	Readout_terminal
CG17293	176	0	Readout_terminal
hkl	175	0	Readout_terminal
CG30122	175	0	Readout_terminal
smo	173	0	Readout_terminal
MRG15	173	0	Readout_terminal
rump	171	0	Readout_terminal
Smn	171	0	Readout_terminal
Set	171	0	Readout_terminal
Map60	171	0	Readout_terminal
noi	170	0	Readout_terminal
Rcd4	170	0	Readout_terminal
FK506-bp1	169	0	Readout_terminal
Cp190	169	0	Readout_terminal
Chro	169	0	Readout_terminal
CG7379	169	0	Readout_terminal
thoc7	168	0	Readout_terminal
XNP	168	0	Readout_terminal
Rat1	168	0	Readout_terminal
Pgam5	168	0	Readout_terminal
Mcm6	168	0	Readout_terminal
CG4806	168	0	Readout_terminal
CG14803	168	0	Readout_terminal
nito	167	0	Readout_terminal
msb1l	167	0	Readout_terminal
Taf5	167	0	Readout_terminal
Snr1	167	0	Readout_terminal
SMC2	167	0	Readout_terminal
CG9302	167	0	Readout_terminal
CG5808	167	0	Readout_terminal
dnk	166	0	Readout_terminal
brm	166	0	Readout_terminal
MBD-like	166	0	Readout_terminal
CG2158	166	0	Readout_terminal
CG15443	166	0	Readout_terminal
CG7262	165	0	Readout_terminal
wds	164	0	Readout_terminal
CG8149	164	0	Readout_terminal
CG3542	164	0	Readout_terminal
CG14005	164	0	Readout_terminal
Apc2	164	0	Readout_terminal
ik2	163	0	Readout_terminal
dbe	163	0	Readout_terminal
Rlb1	163	0	Readout_terminal
Ptp61F	163	0	Readout_terminal
Hdac3	163	0	Readout_terminal
Caf1	163	0	Readout_terminal
CG3732	163	0	Readout_terminal
Bx42	163	0	Readout_terminal
fzy	162	0	Readout_terminal
Srp54	162	0	Readout_terminal
HP5	162	0	Readout_terminal
Actr13E	162	0	Readout_terminal
Taf7	161	0	Readout_terminal
Surf6	161	0	Readout_terminal
Det	161	0	Readout_terminal
CG2807	161	0	Readout_terminal
l(1)1Bi	160	0	Readout_terminal
homer	160	0	Readout_terminal
Nup160	160	0	Readout_terminal
Dcp-1	160	0	Readout_terminal
CG12818	160	0	Readout_terminal
CG10880	160	0	Readout_terminal
msd5	159	0	Readout_terminal
milt	159	0	Readout_terminal
CG31392	159	0	Readout_terminal
ball	158	0	Readout_terminal
CG2218	158	0	Readout_terminal
CG15107	158	0	Readout_terminal
polo	157	0	Readout_terminal
geminin	157	0	Readout_terminal
ebi	157	0	Readout_terminal
Taf12	157	0	Readout_terminal
HP4	157	0	Readout_terminal
CG32075	157	0	Readout_terminal
CG16892	157	0	Readout_terminal
Art3	157	0	Readout_terminal
Hrb98DE	156	0	Readout_terminal
CycB	156	0	Readout_terminal
Cwc25	156	0	Readout_terminal
CG3238	156	0	Readout_terminal
CG2685	156	0	Readout_terminal
CG1622	156	0	Readout_terminal
CG6171	155	0	Readout_terminal
CG11180	155	0	Readout_terminal
mars	154	0	Readout_terminal
e(r)	154	0	Readout_terminal
Su(var)205	154	0	Readout_terminal
CG5986	154	0	Readout_terminal
CG5439	154	0	Readout_terminal
CG33695	154	0	Readout_terminal
Bap60	154	0	Readout_terminal
tum	153	0	Readout_terminal
pea	153	0	Readout_terminal
kuk	153	0	Readout_terminal
Ripalpha	153	0	Readout_terminal
Lsm10	153	0	Readout_terminal
HP1b	153	0	Readout_terminal
CtBP	153	0	Readout_terminal
CG9246	153	0	Readout_terminal
CG6876	153	0	Readout_terminal
CG6693	153	0	Readout_terminal
CG3605	153	0	Readout_terminal
tef	152	0	Readout_terminal
mad2	152	0	Readout_terminal
dgt6	152	0	Readout_terminal
Sap30	152	0	Readout_terminal
CG18178	152	0	Readout_terminal
CG1523	152	0	Readout_terminal
CG4980	151	0	Readout_terminal
CG4069	151	0	Readout_terminal
qkr58E-1	150	0	Readout_terminal
l(3)j2D3	150	0	Readout_terminal
cana	150	0	Readout_terminal
Nxt1	150	0	Readout_terminal
CG7288	150	0	Readout_terminal
CG2091	150	0	Readout_terminal
Art1	150	0	Readout_terminal
tsu	149	0	Readout_terminal
qkr58E-2	149	0	Readout_terminal
icln	149	0	Readout_terminal
glu	149	0	Readout_terminal
Nufip	149	0	Readout_terminal
CycA	149	0	Readout_terminal
CG6422	149	0	Readout_terminal
CG16753	149	0	Readout_terminal
Bj1	149	0	Readout_terminal
xl6	148	0	Readout_terminal
sced	148	0	Readout_terminal
dsh	148	0	Readout_terminal
PSR	148	0	Readout_terminal
Orc6	148	0	Readout_terminal
CG7185	148	0	Readout_terminal
CG6066	148	0	Readout_terminal
CG6015	148	0	Readout_terminal
CG4452	148	0	Readout_terminal
Bsg25D	148	0	Readout_terminal
ytr	147	0	Readout_terminal
fs(1)K10	147	0	Readout_terminal
aph-1	147	0	Readout_terminal
SuUR	147	0	Readout_terminal
RpII33	147	0	Readout_terminal
His2Av	147	0	Readout_terminal
CG9839	147	0	Readout_terminal
CG9740	147	0	Readout_terminal
CG9293	147	0	Readout_terminal
CG6179	147	0	Readout_terminal
CG3511	147	0	Readout_terminal
CG11820	147	0	Readout_terminal
CG1120	147	0	Readout_terminal
Ars2	147	0	Readout_terminal
U2af50	146	0	Readout_terminal
TH1	146	0	Readout_terminal
Nup154	146	0	Readout_terminal
Mst85C	146	0	Readout_terminal
Ice	146	0	Readout_terminal
CycC	146	0	Readout_terminal
CG9772	146	0	Readout_terminal
CG9062	146	0	Readout_terminal
CG7840	146	0	Readout_terminal
CG6712	146	0	Readout_terminal
CG4119	146	0	Readout_terminal
CG14749	146	0	Readout_terminal
CG1307	146	0	Readout_terminal
Arp8	146	0	Readout_terminal
Acf1	146	0	Readout_terminal
pall	145	0	Readout_terminal
mof	145	0	Readout_terminal
cnk	145	0	Readout_terminal
betaTub56D	145	0	Readout_terminal
Nlp	145	0	Readout_terminal
MED4	145	0	Readout_terminal
Dlc90F	145	0	Readout_terminal
Csl4	145	0	Readout_terminal
CG9346	145	0	Readout_terminal
CG6540	145	0	Readout_terminal
CG4281	145	0	Readout_terminal
CG3883	145	0	Readout_terminal
CG14641	145	0	Readout_terminal
CG11777	145	0	Readout_terminal
CG11596	145	0	Readout_terminal
nxf2	144	0	Readout_terminal
msl-1	144	0	Readout_terminal
mei-38	144	0	Readout_terminal
ial	144	0	Readout_terminal
Rox8	144	0	Readout_terminal
RhoGEF4	144	0	Readout_terminal
O-fut1	144	0	Readout_terminal
CstF-64	144	0	Readout_terminal
CG5235	144	0	Readout_terminal
CG3893	144	0	Readout_terminal
CG1542	144	0	Readout_terminal
CG14614	144	0	Readout_terminal
CG12608	144	0	Readout_terminal
vimar	143	0	Readout_terminal
thoc5	143	0	Readout_terminal
pav	143	0	Readout_terminal
l(3)mbt	143	0	Readout_terminal
cav	143	0	Readout_terminal
Uev1A	143	0	Readout_terminal
Su(fu)	143	0	Readout_terminal
Gas41	143	0	Readout_terminal
CG5815	143	0	Readout_terminal
CG5742	143	0	Readout_terminal
CG4785	143	0	Readout_terminal
CG3056	143	0	Readout_terminal
CG1240	143	0	Readout_terminal
ppan	142	0	Readout_terminal
mago	142	0	Readout_terminal
Taf11	142	0	Readout_terminal
CG7597	142	0	Readout_terminal
CG16903	142	0	Readout_terminal
wls	141	0	Readout_terminal
mip40	141	0	Readout_terminal
mbm	141	0	Readout_terminal
katanin-60	141	0	Readout_terminal
hyx	141	0	Readout_terminal
crn	141	0	Readout_terminal
cdc2	141	0	Readout_terminal
Trn	141	0	Readout_terminal
Spt6	141	0	Readout_terminal
Nup153	141	0	Readout_terminal
NELF-B	141	0	Readout_terminal
CG6843	141	0	Readout_terminal
CG3704	141	0	Readout_terminal
Amun	141	0	Readout_terminal
Aly	141	0	Readout_terminal
snf	140	0	Readout_terminal
ran	140	0	Readout_terminal
prod	140	0	Readout_terminal
CG9114	140	0	Readout_terminal
CG1943	140	0	Readout_terminal
CG16941	140	0	Readout_terminal
pds5	139	0	Readout_terminal
pUf68	139	0	Readout_terminal
oxt	139	0	Readout_terminal
Orc1	139	0	Readout_terminal
Nup62	139	0	Readout_terminal
CG6418	139	0	Readout_terminal
CG13900	139	0	Readout_terminal
CG13599	139	0	Readout_terminal
Atac1	139	0	Readout_terminal
torp4a	138	0	Readout_terminal
msd1	138	0	Readout_terminal
l(2)35Bd	138	0	Readout_terminal
e(y)1	138	0	Readout_terminal
Taf13	138	0	Readout_terminal
SF2	138	0	Readout_terminal
PpV	138	0	Readout_terminal
D12	138	0	Readout_terminal
Cpsf100	138	0	Readout_terminal
CG2063	138	0	Readout_terminal
CG1737	138	0	Readout_terminal
CG14722	138	0	Readout_terminal
CG11926	138	0	Readout_terminal
dgt1	137	0	Readout_terminal
Tudor-SN	137	0	Readout_terminal
Dpy-30L1	137	0	Readout_terminal
CG9754	137	0	Readout_terminal
CG6241	137	0	Readout_terminal
CG4866	137	0	Readout_terminal
CG4768	137	0	Readout_terminal
CG13333	137	0	Readout_terminal
BthD	137	0	Readout_terminal
not	136	0	Readout_terminal
Sfmbt	136	0	Readout_terminal
Sce	136	0	Readout_terminal
Rbf2	136	0	Readout_terminal
CG8370	136	0	Readout_terminal
CG6961	136	0	Readout_terminal
CG18259	136	0	Readout_terminal
CG17282	136	0	Readout_terminal
CG12713	136	0	Readout_terminal
CG10324	136	0	Readout_terminal
