# This file contains the list of genes (nodes) in the gene regulatory network
# of Homo sapiens.
# 
# The original network was built using the information available from
# 
# Gerstein MB, Kundaje A, Hariharan M, Landt SG, Yan KK, Cheng C, et al.
# Architecture of the human regulatory network derived from ENCODE data.
# Nature. 2012;489(7414):91–100. doi:10.1038/nature11245.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
SOX4	48	0	Readout_terminal
SORT1	48	0	Readout_terminal
SMG1	48	0	Readout_terminal
SLC1A2	48	0	Readout_terminal
SLC13A3	48	0	Readout_terminal
RUNX1	48	0	Readout_terminal
RAP1B	48	0	Readout_terminal
PTPN11	48	0	Readout_terminal
PKN2	48	0	Readout_terminal
PHF19	48	0	Readout_terminal
PCGF5	48	0	Readout_terminal
NFASC	48	0	Readout_terminal
MLLT6	48	0	Readout_terminal
MBD6	48	0	Readout_terminal
LIN28A	48	0	Readout_terminal
FOXJ3	48	0	Readout_terminal
EXOC5	48	0	Readout_terminal
ECE1	48	0	Readout_terminal
DYRK2	48	0	Readout_terminal
DENND5B	48	0	Readout_terminal
DCUN1D4	48	0	Readout_terminal
BZRAP1	48	0	Readout_terminal
BAZ2B	48	0	Readout_terminal
APC	48	0	Readout_terminal
ANK1	48	0	Readout_terminal
AMMECR1	48	0	Readout_terminal
AIF1L	48	0	Readout_terminal
ZNRF1	47	0	Readout_terminal
ZCCHC24	47	0	Readout_terminal
WNK1	47	0	Readout_terminal
VANGL1	47	0	Readout_terminal
USP9X	47	0	Readout_terminal
USP47	47	0	Readout_terminal
UBE2D3	47	0	Readout_terminal
TSHZ3	47	0	Readout_terminal
TGFBR1	47	0	Readout_terminal
TET2	47	0	Readout_terminal
SATB1	47	0	Readout_terminal
QSER1	47	0	Readout_terminal
PRMT1	47	0	Readout_terminal
PRICKLE2	47	0	Readout_terminal
PPP3CA	47	0	Readout_terminal
MKL2	47	0	Readout_terminal
HNRNPA1	47	0	Readout_terminal
GPR132	47	0	Readout_terminal
GJC1	47	0	Readout_terminal
FANK1	47	0	Readout_terminal
FAM65C	47	0	Readout_terminal
EN2	47	0	Readout_terminal
BAHD1	47	0	Readout_terminal
XIAP	46	0	Readout_terminal
UBE2Q1	46	0	Readout_terminal
TP53INP1	46	0	Readout_terminal
STARD13	46	0	Readout_terminal
SEC62	46	0	Readout_terminal
RNF38	46	0	Readout_terminal
RAD23B	46	0	Readout_terminal
PRPF40A	46	0	Readout_terminal
PPP1R12B	46	0	Readout_terminal
OXSR1	46	0	Readout_terminal
MNT	46	0	Readout_terminal
