# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Drosophila melanogaster.
# 
# The original network was built using the information available from
# 
# Roy S, Ernst J, Kharchenko PV, Kheradpour P, Negre N, Eaton ML, et al.
# Identification of functional elements and regulatory circuits by Drosophila
# modENCODE. Science (New York, NY). 2010;330(6012):1787–97.
# doi:10.1126/science.1198374.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
Sry-beta	yellow-f	
Sry-beta	Nup154	
Sry-beta	Map60	
Sry-beta	yellow-d2	
Sry-beta	Ada2b	
Sry-beta	CG5554	
Sry-beta	CG11808	
Sry-beta	Hip14	
Sry-beta	Chd1	
Sry-beta	CG31139	
Sry-beta	Ptp69D	
Sry-beta	CG14057	
Sry-beta	CstF-50	
Sry-beta	Start1	
Sry-beta	torp4a	
Sry-beta	CG3415	
Sry-beta	CG3363	
Sry-beta	Trip1	
Sry-beta	CG18428	
Sry-beta	Dph5	
Sry-beta	CG42232	
Sry-beta	Eb1	
Sry-beta	CG32202	
Sry-beta	mor	
Sry-beta	U2af50	
Sry-beta	psq	
Sry-beta	CG14614	
Sry-beta	mod	
Sry-beta	CG6854	
Sry-beta	U4-U6-60K	
Sry-beta	CG3165	
Sry-beta	CG3527	
Sry-beta	CG6859	
Sry-beta	CG4203	
Sry-beta	CG4973	
Sry-beta	CG12942	
Sry-beta	Myb	
Sry-beta	RhoGAP71E	
Sry-beta	CG4996	
Sry-beta	Gbeta5	
Sry-beta	eIF4AIII	
Sry-beta	CG14478	
Sry-beta	Pbp49	
Sry-beta	CG7081	
Sry-beta	CG14270	
Sry-beta	l(3)07882	
Sry-beta	CG11560	
Sry-beta	CG11563	
Sry-beta	CG18600	
Sry-beta	Pgam5	
Sry-beta	E(var)3-9	
Sry-beta	CG12054	
Sry-beta	CG5220	
Sry-beta	Prosbeta3	
Sry-beta	CG9666	
Sry-beta	CHORD	
Sry-beta	Prosbeta7	
Sry-beta	CG9662	
Sry-beta	CG3744	
Sry-beta	CG7407	
Sry-beta	CG2694	
Sry-beta	CG2691	
Sry-beta	CG5316	
Sry-beta	Nuf2	
Sry-beta	CG9114	
Sry-beta	CG12129	
Sry-beta	CG12128	
Sry-beta	CG33332	
Sry-beta	Rae1	
Sry-beta	Ada	
Sry-beta	CG11141	
Sry-beta	CG6689	
Sry-beta	her	
Sry-beta	lok	
Sry-beta	CG6680	
Sry-beta	CG6683	
Sry-beta	CG9062	
Sry-beta	Dcp1	
Sry-beta	CG6665	
Sry-beta	Fbw5	
Sry-beta	CG8889	
Sry-beta	CG5003	
Sry-beta	CG4570	
Sry-beta	CG17829	
Sry-beta	CG1240	
Sry-beta	l(2)09851	
Sry-beta	CG16936	
Sry-beta	Uba2	
Sry-beta	CG6359	
Sry-beta	CG6597	
Sry-beta	CG13096	
Sry-beta	cbc	
Sry-beta	CG13090	
Sry-beta	Lam	
Sry-beta	skpB	
Sry-beta	skpA	
Sry-beta	CG1667	
Sry-beta	Arf79F	
Sry-beta	Es2	
Sry-beta	Dmn	
Sry-beta	a6	
Sry-beta	CG13142	
Sry-beta	cpb	
Sry-beta	CG10990	
Sry-beta	Brf	
Sry-beta	lack	
Sry-beta	CG17260	
Sry-beta	CG10543	
Sry-beta	alt	
Sry-beta	SmD3	
Sry-beta	ana1	
Sry-beta	CG5815	
Sry-beta	CG17068	
Sry-beta	CG31122	
Sry-beta	Eap	
Sry-beta	CG34441	
Sry-beta	wmd	
Sry-beta	CG32479	
Sry-beta	CG31301	
Sry-beta	dsh	
Sry-beta	CG4360	
Sry-beta	CG3407	
Sry-beta	faf	
Sry-beta	hyd	
Sry-beta	Neos	
Sry-beta	hyx	
Sry-beta	scny	
Sry-beta	Patr-1	
Sry-beta	RpL24-like	
Sry-beta	CaBP1	
Sry-beta	Smn	
Sry-beta	MTA1-like	
Sry-beta	sug	
Sry-beta	TfIIA-S	
Sry-beta	sub	
Sry-beta	RpII140	
Sry-beta	Spn6	
Sry-beta	CG3532	
Sry-beta	abs	
Sry-beta	CG1845	
Sry-beta	Su(fu)	
Sry-beta	CG14286	
Sry-beta	SmB	
Sry-beta	Spc25	
Sry-beta	CG14285	
Sry-beta	CG14463	
Sry-beta	btz	
Sry-beta	cathD	
Sry-beta	CG32095	
Sry-beta	Tango7	
Sry-beta	Tango6	
Sry-beta	Tango4	
Sry-beta	Noa36	
Sry-beta	CG3337	
Sry-beta	CG3335	
Sry-beta	Bgb	
Sry-beta	CG11555	
Sry-beta	CG2202	
Sry-beta	CG42374	
Sry-beta	Srp68	
Sry-beta	Bsg25D	
Sry-beta	CG3621	
Sry-beta	fws	
Sry-beta	CG18011	
Sry-beta	CG12734	
Sry-beta	SRm160	
Sry-beta	vir	
Sry-beta	Df31	
Sry-beta	fidipidine	
Sry-beta	Su(var)2-HP2	
Sry-beta	twe	
Sry-beta	CG7182	
Sry-beta	SMC2	
Sry-beta	Spt-I	
Sry-beta	CG7185	
Sry-beta	CG14860	
Sry-beta	CG10158	
Sry-beta	CG12608	
Sry-beta	BRWD3	
Sry-beta	Tao-1	
Sry-beta	CG2116	
Sry-beta	CG10214	
Sry-beta	cact	
Sry-beta	Dpy-30L1	
Sry-beta	CG12130	
Sry-beta	CG9123	
Sry-beta	Ssdp	
Sry-beta	thoc7	
Sry-beta	thoc5	
Sry-beta	CG6693	
Sry-beta	CG6697	
Sry-beta	CG6695	
Sry-beta	Chrac-14	
Sry-beta	RhoGAP54D	
Sry-beta	CG9547	
Sry-beta	Chrac-16	
Sry-beta	CoRest	
Sry-beta	Hydr1	
Sry-beta	pont	
Sry-beta	l(2)35Bd	
Sry-beta	CG9548	
Sry-beta	Cenp-C	
Sry-beta	Bx42	
Sry-beta	Ptpmeg	
Sry-beta	eIF3-S10	
