# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Homo sapiens.
# 
# The original network was built using the information available from
# 
# Gerstein MB, Kundaje A, Hariharan M, Landt SG, Yan KK, Cheng C, et al.
# Architecture of the human regulatory network derived from ENCODE data.
# Nature. 2012;489(7414):91–100. doi:10.1038/nature11245.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
SP1	INTS10	
SP1	TMEM14C	
SP1	SKP1	
SP1	MYLPF	
SP1	MYH9	
SP1	CDKL1	
SP1	PRPF40A	
SP1	SASH3	
SP1	FANCF	
SP1	GCET2	
SP1	TBX15	
SP1	FANCA	
SP1	FBXO24	
SP1	HNRNPAB	
SP1	C10orf76	
SP1	TAGLN	
SP1	RANBP1	
SP1	TNFRSF6B	
SP1	HAS3	
SP1	FGD5	
SP1	KISS1	
SP1	ETFB	
SP1	HMSD	
SP1	MTMR12	
SP1	CLIC1	
SP1	SEPHS2	
SP1	HNRNPA1	
SP1	AIM1	
SP1	CMBL	
SP1	VTN	
SP1	TRIM69	
SP1	MTOR	
SP1	LAMP1	
SP1	UNG	
SP1	RPS4X	
SP1	ZNF718	
SP1	DUOX1	
SP1	AC011472.1	
SP1	IL4I1	
SP1	CXADR	
SP1	TDRKH	
SP1	FAM65C	
SP1	LOC84931	
SP1	XXbac-BPG181M17.5	
SP1	STX5	
SP1	LENG1	
SP1	HLA-DPA1	
SP1	FAM117A	
SP1	PTPRB	
SP1	NEU1	
SP1	hsa-miR-18a*	
SP1	SRCAP	
SP1	SULT2A1	
SP1	LCN2	
SP1	ERCC1	
SP1	USP3	
SP1	C17orf91	
SP1	MSH5	
SP1	ROCK1P1	
SP1	GNB1L	
SP1	EZH2	
SP1	TRMT2A	
SP1	ECE1	
SP1	PITX2	
SP1	ITGB1BP1	
SP1	OTUB2	
SP1	LPHN1	
SP1	P2RY2	
SP1	SNHG10	
SP1	ASAH2	
SP1	CTCFL	
SP1	C6orf105	
SP1	POR	
SP1	KDM4B	
SP1	RTBDN	
SP1	IFIT1	
SP1	CARS	
SP1	NCL	
SP1	FCRL2	
SP1	ABCB8	
SP1	FCRL5	
SP1	AQP3	
SP1	PDIK1L	
SP1	ZBTB3	
SP1	ST3GAL1	
SP1	ASCL1	
SP1	ZBTB5	
SP1	RCL1	
SP1	PRKCB	
SP1	PSME2	
SP1	PPFIA4	
SP1	VCP	
SP1	HIST1H3A	
SP1	AP2A1	
SP1	HIST1H3D	
SP1	DYNC1H1	
SP1	HMHA1	
SP1	APOB	
SP1	CYTH2	
SP1	PXMP4	
SP1	HIST2H2AC	
SP1	MAGEA12	
SP1	CALCR	
SP1	KATNB1	
SP1	HLA-DQA1	
SP1	HNRPA1L-2	
SP1	DCAF7	
SP1	PICALM	
SP1	RHOH	
SP1	NCDN	
SP1	CACNG1	
SP1	ALPL	
SP1	psiTPTE22	
SP1	MGC16703	
SP1	FKBP14	
SP1	TOMM40	
SP1	RAB4B	
SP1	ADD2	
SP1	KRT31	
SP1	IFI27	
SP1	PLCD1	
SP1	CD37	
SP1	PPIL2	
SP1	FRYL	
SP1	MYL2	
SP1	APOC3	
SP1	ZNF805	
SP1	C7orf58	
SP1	LRPPRC	
SP1	CCDC99	
SP1	SBK1	
SP1	CCDC94	
SP1	GSDMA	
SP1	ACSM3	
SP1	FMNL1	
SP1	CACNA1E	
SP1	TNFRSF13C	
SP1	STAP1	
SP1	PERP	
SP1	ZNF574	
SP1	ENSA	
SP1	FMOD	
SP1	IDI1	
SP1	NUP214	
SP1	KLHDC10	
SP1	KIAA0319L	
SP1	ERBB3	
SP1	ZMYND8	
SP1	SHC1	
SP1	NGFR	
SP1	C1orf228	
SP1	PRMT1	
SP1	CLNK	
SP1	MTRNR2L8	
SP1	PRMT5	
SP1	POSTN	
SP1	HMGCR	
SP1	SLC25A25	
SP1	SLC25A28	
SP1	POU2F2	
SP1	GMPS	
SP1	RSPO2	
SP1	RBM42	
SP1	MAP1LC3B	
SP1	ORMDL2	
SP1	FCER2	
SP1	hsa-miR-595	
SP1	RAI14	
SP1	RUNX3	
SP1	RHAG	
SP1	OPTN	
SP1	SARNP	
SP1	NUCKS1	
SP1	KIAA1310	
SP1	ZBTB20	
SP1	GBF1	
SP1	CHI3L2	
SP1	CNST	
SP1	APP	
SP1	C16orf72	
SP1	C16orf73	
SP1	ADORA1	
SP1	SCEL	
SP1	CNOT1	
SP1	GRIA1	
SP1	EPB41	
SP1	TNFRSF17	
SP1	SEC16A	
SP1	XRCC3	
SP1	KIAA0195	
SP1	JUB	
SP1	PPM1B	
SP1	UBAP2L	
SP1	STAT5B	
SP1	PPM1K	
SP1	JUP	
SP1	HLA-DQB1	
SP1	UGP2	
SP1	PRM1	
SP1	HIST1H4E	
SP1	RBM39	
SP1	PGK1	
SP1	STK40	
SP1	HOMEZ	
SP1	PRM2	
SP1	ABCA11P	
SP1	HEMGN	
SP1	SFPQ	
SP1	ZNF587	
SP1	CPN2	
SP1	LAMC2	
SP1	hsa-miR-17*	
SP1	DSCR8	
SP1	DSCR4	
SP1	UBE2C	
SP1	ST8SIA2	
SP1	GNAZ	
SP1	XAB2	
SP1	LRCH4	
SP1	VAT1L	
SP1	EIF3B	
SP1	C17orf56	
SP1	LOC253724	
SP1	CALML5	
SP1	TINAGL1	
