# This file contains the list of genes (nodes) in the gene regulatory network
# of Saccharomyces cerevisiae.
# 
# The original network was built using the information available from
# 
# Teixeira MC, Monteiro PT, Guerreiro JF, Gonçalves JP, Mira NP, Dos Santos
# SC, et al. The YEASTRACT database: an upgraded information system for the
# analysis of gene and genomic transcription regulation in Saccharomyces
# cerevisiae.      Nucleic acids research. 2014;42(1):D161–6.
# doi:10.1093/nar/gkt1015.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
gic2	84	0	Readout_terminal
cwp2	84	0	Readout_terminal
yrf1-7	83	0	Readout_terminal
ymr181c	83	0	Readout_terminal
ylr042c	83	0	Readout_terminal
ydr222w	83	0	Readout_terminal
ycr018c-a	83	0	Readout_terminal
rgl1	83	0	Readout_terminal
pry1	83	0	Readout_terminal
prm5	83	0	Readout_terminal
pho84	83	0	Readout_terminal
mch5	83	0	Readout_terminal
hhf2	83	0	Readout_terminal
glk1	83	0	Readout_terminal
ero1	83	0	Readout_terminal
ecl1	83	0	Readout_terminal
ald6	83	0	Readout_terminal
aim17	83	0	Readout_terminal
ygr250c	82	0	Readout_terminal
mnn1	82	0	Readout_terminal
mf(alpha)1	82	0	Readout_terminal
met6	82	0	Readout_terminal
hsc82	82	0	Readout_terminal
cup1-1	82	0	Readout_terminal
cis3	82	0	Readout_terminal
bat1	82	0	Readout_terminal
agp1	82	0	Readout_terminal
yir035c	81	0	Readout_terminal
vhr2	81	0	Readout_terminal
tir3	81	0	Readout_terminal
sol4	81	0	Readout_terminal
scp1	81	0	Readout_terminal
rpl24a	81	0	Readout_terminal
pgm2	81	0	Readout_terminal
hsp26	81	0	Readout_terminal
gcv2	81	0	Readout_terminal
faa1	81	0	Readout_terminal
bsc1	81	0	Readout_terminal
ygr079w	80	0	Readout_terminal
srl1	80	0	Readout_terminal
hxt2	80	0	Readout_terminal
gre2	80	0	Readout_terminal
gad1	80	0	Readout_terminal
frt1	80	0	Readout_terminal
exg1	80	0	Readout_terminal
elo1	80	0	Readout_terminal
ylr101c	79	0	Readout_terminal
ygr139w	79	0	Readout_terminal
tma10	79	0	Readout_terminal
sse2	79	0	Readout_terminal
fet4	79	0	Readout_terminal
erg28	79	0	Readout_terminal
dic1	79	0	Readout_terminal
cmr3	79	0	Readout_terminal
zeo1	78	0	Readout_terminal
ymr173w-a	78	0	Readout_terminal
ygr137w	78	0	Readout_terminal
ydj1	78	0	Readout_terminal
sam4	78	0	Readout_terminal
rpl42b	78	0	Readout_terminal
rpl24b	78	0	Readout_terminal
rpa34	78	0	Readout_terminal
pir3	78	0	Readout_terminal
pfk27	78	0	Readout_terminal
ilv5	78	0	Readout_terminal
hhf1	78	0	Readout_terminal
erg11	78	0	Readout_terminal
ddr2	78	0	Readout_terminal
cha1	78	0	Readout_terminal
car2	78	0	Readout_terminal
adh1	78	0	Readout_terminal
ylr041w	77	0	Readout_terminal
tsl1	77	0	Readout_terminal
spo20	77	0	Readout_terminal
sfk1	77	0	Readout_terminal
sam1	77	0	Readout_terminal
rpl27a	77	0	Readout_terminal
pin4	77	0	Readout_terminal
msc6	77	0	Readout_terminal
hek2	77	0	Readout_terminal
eno1	77	0	Readout_terminal
dma2	77	0	Readout_terminal
adh2	77	0	Readout_terminal
yrf1-6	76	0	Readout_terminal
ymr144w	76	0	Readout_terminal
yhr219w	76	0	Readout_terminal
tfs1	76	0	Readout_terminal
sun4	76	0	Readout_terminal
sst2	76	0	Readout_terminal
rpl36a	76	0	Readout_terminal
rho5	76	0	Readout_terminal
prm4	76	0	Readout_terminal
