# This file contains the list of genes (nodes) in the gene regulatory network
# of Escherichia coli.
# 
# The original network was built using the information available from
# 
# Keseler IM, Collado-Vides J, Santos-Zavaleta A, Peralta-Gil M, Gama-Castro S,
# Muñiz-Rascado L, et al. EcoCyc: a comprehensive database of Escherichia coli
# biology. Nucleic acids research. 2011;39(Database issue):D583–90.
# doi:10.1093/nar/gkq1143.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
glcD	6	0	Readout_terminal
glcB	6	0	Readout_terminal
gdhA	6	0	Readout_terminal
gcvT	6	0	Readout_terminal
gcvP	6	0	Readout_terminal
gcvH	6	0	Readout_terminal
ftsZ	6	0	Readout_terminal
ftsA	6	0	Readout_terminal
frdD	6	0	Readout_terminal
fadL	6	0	Readout_terminal
dusB	6	0	Readout_terminal
dpiB	6	0	Readout_terminal
deoD	6	0	Readout_terminal
deoC	6	0	Readout_terminal
deoB	6	0	Readout_terminal
deoA	6	0	Readout_terminal
cydB	6	0	Readout_terminal
cydA	6	0	Readout_terminal
caiT	6	0	Readout_terminal
caiD	6	0	Readout_terminal
caiC	6	0	Readout_terminal
caiB	6	0	Readout_terminal
caiA	6	0	Readout_terminal
astE	6	0	Readout_terminal
alaV	6	0	Readout_terminal
alaU	6	0	Readout_terminal
acs	6	0	Readout_terminal
yoaG	5	0	Readout_terminal
yjbH	5	0	Readout_terminal
yjbG	5	0	Readout_terminal
yjbF	5	0	Readout_terminal
yjbE	5	0	Readout_terminal
yhcH	5	0	Readout_terminal
ygjG	5	0	Readout_terminal
ygiC	5	0	Readout_terminal
ygiB	5	0	Readout_terminal
ygiA	5	0	Readout_terminal
yeiL	5	0	Readout_terminal
yeaR	5	0	Readout_terminal
ydhT	5	0	Readout_terminal
ybjN	5	0	Readout_terminal
ybjC	5	0	Readout_terminal
uxuB	5	0	Readout_terminal
uxuA	5	0	Readout_terminal
ulaF	5	0	Readout_terminal
ulaE	5	0	Readout_terminal
ulaD	5	0	Readout_terminal
ulaC	5	0	Readout_terminal
ulaB	5	0	Readout_terminal
ulaA	5	0	Readout_terminal
tolC	5	0	Readout_terminal
srlE	5	0	Readout_terminal
srlD	5	0	Readout_terminal
srlB	5	0	Readout_terminal
srlA	5	0	Readout_terminal
sdhD	5	0	Readout_terminal
sdhC	5	0	Readout_terminal
sdhB	5	0	Readout_terminal
sdhA	5	0	Readout_terminal
safA	5	0	Readout_terminal
rutF	5	0	Readout_terminal
rutE	5	0	Readout_terminal
rutD	5	0	Readout_terminal
rutC	5	0	Readout_terminal
rutB	5	0	Readout_terminal
rutA	5	0	Readout_terminal
rrsE	5	0	Readout_terminal
rrsA	5	0	Readout_terminal
rrlE	5	0	Readout_terminal
rrlA	5	0	Readout_terminal
rrfE	5	0	Readout_terminal
rrfA	5	0	Readout_terminal
rimK	5	0	Readout_terminal
ptsI	5	0	Readout_terminal
ptsH	5	0	Readout_terminal
prmC	5	0	Readout_terminal
prfA	5	0	Readout_terminal
poxB	5	0	Readout_terminal
paaK	5	0	Readout_terminal
paaJ	5	0	Readout_terminal
paaI	5	0	Readout_terminal
paaH	5	0	Readout_terminal
paaG	5	0	Readout_terminal
paaF	5	0	Readout_terminal
paaE	5	0	Readout_terminal
paaD	5	0	Readout_terminal
paaC	5	0	Readout_terminal
paaB	5	0	Readout_terminal
paaA	5	0	Readout_terminal
osmE	5	0	Readout_terminal
oppF	5	0	Readout_terminal
oppD	5	0	Readout_terminal
oppC	5	0	Readout_terminal
oppB	5	0	Readout_terminal
oppA	5	0	Readout_terminal
nmpC	5	0	Readout_terminal
nfuA	5	0	Readout_terminal
nfsA	5	0	Readout_terminal
mtlD	5	0	Readout_terminal
mtlA	5	0	Readout_terminal
manZ	5	0	Readout_terminal
manY	5	0	Readout_terminal
